inc_list,year,state_s,growth,revenue,ifmid,ifiid,founded,yrs_on_list,partner_lists/0,partner_lists/1
Y,2018,CO,96422.08,109744415,31,4,2011,1,,
Y,2018,IL,81223.43,165781095,17,11,1997,1,,
Y,2018,WI,75660.84,98965631,78,6,2013,2,,
Y,2018,CO,71423.76,168837562,31,4,2010,1,,
Y,2018,IL,60165.51,255047839,17,11,2013,1,,
Y,2018,AZ,52599.92,142723188,46,16,2009,1,,
Y,2018,CO,39816.51,49175942,30,17,2013,1,,
Y,2018,AZ,38962.90,219574136,46,16,2013,1,,
Y,2018,WI,26618.64,28004900,171,25,2007,1,,
Y,2018,CA,21480.15,146084812,4,6,2008,1,,
Y,2018,CA,20611.47,32674454,11,10,2005,1,,
Y,2018,IN,20009.56,53345791,81,3,1997,1,,
Y,2018,GA,20005.24,21874500,29,6,2011,1,,
Y,2018,WI,19717.51,43084462,171,25,2014,1,,
Y,2018,VA,19541.94,116810064,3,7,2011,1,,
Y,2018,UT,18421.06,19661753,48,17,2013,1,,
Y,2018,FL,17732.50,25639563,1,5,2000,1,,
Y,2018,IL,16426.66,16893384,17,10,2013,1,,
Y,2018,CA,15911.22,224745864,4,6,2013,1,,
Y,2018,CA,15267.76,50268390,11,10,2007,2,,
Y,2018,IN,14821.90,82070447,81,3,2012,3,,
Y,2018,NY,14747.59,25711999,9,18,2003,1,,
Y,2018,VA,14475.51,179707790,3,7,2010,2,,
Y,2018,FL,14259.18,19762070,575,7,1991,1,,
Y,2018,CA,14240.84,14525878,4,4,2007,1,,
Y,2018,CA,14032.48,18781497,4,13,2013,1,,
Y,2018,UT,13645.23,30248850,48,17,2013,1,,
Y,2018,CA,13429.21,15025290,2,18,1997,1,,
Y,2018,FL,13135.18,39445482,1,5,2008,1,,
Y,2018,VA,12835.82,15924218,3,7,1991,1,,
Y,2018,FL,12500.72,16723552,576,9,2013,1,,
Y,2018,NY,12358.17,31112151,9,18,1998,1,,
Y,2018,NV,12357.61,19671198,1004,5,1993,1,,
Y,2018,NY,11711.67,31771006,9,10,2011,1,,
Y,2018,FL,11359.31,14055761,7,3,2014,1,,
Y,2018,NY,10924.14,39556922,9,18,2014,1,,
Y,2018,FL,10562.36,30403184,575,7,2011,2,,
Y,2018,CA,10548.77,22347505,4,4,2012,1,,
Y,2018,NY,10171.27,12306450,9,9,2008,1,,
Y,2018,CA,10134.98,18741450,4,9,2013,1,,
Y,2018,MA,10056.57,12328556,6,21,2014,1,,
Y,2018,CA,10013.24,31061257,11,3,1992,1,,
Y,2018,FL,9966.15,40305805,64,20,1994,1,,
Y,2018,CA,9947.57,23115831,2,18,2013,1,,
Y,2018,VA,9508.01,24498797,3,7,2012,2,,
Y,2018,CA,9498.19,29593640,4,4,2013,1,,
Y,2018,CA,9199.58,16890172,2,11,2014,1,,
Y,2018,NY,9154.20,47864847,9,18,2014,1,,
Y,2018,NV,9153.78,30263382,1004,5,2013,1,,
Y,2018,NV,8875.11,23815041,1004,13,1990,1,,
Y,2018,UT,8797.71,11693542,204,5,2014,1,,
Y,2018,NY,8675.31,48878470,9,10,2008,1,,
Y,2018,CA,8672.23,12160158,2,5,1993,1,,
Y,2018,OR,8047.27,25289547,10,4,1998,1,,
Y,2018,IL,7772.99,18009594,17,6,2009,1,,
Y,2018,CA,7676.49,17710916,2,12,1994,1,,
Y,2018,FL,7636.36,10570957,1,6,2014,1,X,
Y,2018,NY,7534.27,18933000,9,9,2012,1,,
Y,2018,DC,7525.25,9331318,3,7,2008,2,,
Y,2018,CA,7507.39,28833000,4,9,2013,1,,
Y,2018,CA,7417.21,47786549,11,3,2012,3,,
Y,2018,FL,7382.33,62008931,64,20,2014,1,,
Y,2018,CO,7375.42,12809590,30,10,1994,1,,
Y,2018,DC,7340.40,14732000,3,2,2010,1,,
Y,2018,PA,7338.50,295313991,52,10,2012,1,,
Y,2018,CA,7320.50,20849969,4,10,2012,1,,
Y,2018,MD,7310.03,7982302,3,10,2013,1,,
Y,2018,CA,7035.70,45528677,4,4,2012,1,,
Y,2018,MD,6952.67,11426947,3,21,2013,1,,
Y,2018,OH,6754.29,8776237,47,18,2013,1,,
Y,2018,NV,6574.16,36638524,1004,13,1999,1,,
Y,2018,NY,6475.80,10738770,9,4,1997,1,,
Y,2018,FL,6463.64,8092135,1,25,2004,1,,
Y,2018,CA,6423.88,18707936,2,5,2013,1,,
Y,2018,VA,6395.42,7353395,3,7,2012,3,,
Y,2018,MD,6336.20,8463919,3,3,2008,1,,
Y,2018,NJ,6233.59,69849779,9,16,2009,1,,
Y,2018,CA,6212.94,10464336,4,9,2014,1,,
Y,2018,DC,6173.17,19486513,3,21,1996,1,,
Y,2018,FL,6138.17,7313881,1,17,2006,1,,
Y,2018,NJ,6044.84,9193872,49,25,2004,1,,
Y,2018,OR,5960.94,38906995,10,4,2014,1,,
Y,2018,NY,5954.90,33703394,9,5,2011,1,,
Y,2018,CA,5952.28,9570391,2,19,2001,1,,
Y,2018,TX,5933.08,7804559,8,5,2011,1,,
Y,2018,CO,5930.55,7145319,30,9,2001,1,,
Y,2018,ID,5763.88,6030887,159,9,2006,1,,
Y,2018,IL,5757.77,27707068,17,6,2014,1,,
Y,2018,CA,5726.21,10623512,2,7,1998,1,,
Y,2018,ID,5713.38,41527771,159,9,2003,1,,
Y,2018,CA,5686.29,27247563,2,12,2013,1,,
Y,2018,TX,5678.53,19046441,8,1,2000,1,,
Y,2018,NY,5530.41,22613398,9,21,2001,1,,
Y,2018,CO,5463.27,19707062,30,10,2012,1,X,
Y,2018,PA,5435.93,454329217,52,10,2011,3,,
Y,2018,CA,5422.59,32076875,4,10,2012,1,,
Y,2018,CA,5326.54,17195324,67,16,2010,1,,
Y,2018,CO,5325.75,5803311,30,5,2004,1,,
Y,2018,FL,5319.56,6303050,64,16,1996,1,,
Y,2018,UT,5288.94,6320598,48,17,1999,1,,
Y,2018,CA,5241.08,7248716,2,18,1994,1,,
Y,2018,WA,5186.28,7507976,10,20,2008,1,,
Y,2018,DC,5170.48,7053591,3,7,2012,1,,
Y,2018,GA,5161.94,5718487,29,10,2008,1,,
Y,2018,GA,5064.70,7300758,29,17,1990,1,,
Y,2018,NY,5064.44,5170227,77,5,2014,1,,
Y,2018,CA,5033.30,17670765,2,4,2002,1,,
Y,2018,FL,5029.64,41907191,7,28,1996,1,,
Y,2018,FL,4969.71,7373477,1,5,2003,1,,
Y,2018,DE,4922.66,5324024,49,20,2013,2,,
Y,2018,NJ,4909.20,13000372,9,5,1994,1,,
Y,2018,MA,4889.25,5318038,6,5,2012,1,,
Y,2018,GA,4888.64,23492219,29,23,2000,1,,
Y,2018,CA,4817.58,5801105,2,21,1998,1,,
Y,2018,NY,4796.89,16521184,9,4,2014,1,,
Y,2018,UT,4794.57,5667328,48,4,2014,1,,
Y,2018,FL,4787.88,12449439,1,25,2012,1,,
Y,2018,MN,4774.82,20470676,13,18,2010,1,,
Y,2018,CA,4709.62,5321843,20,9,2001,1,,
Y,2018,CA,4700.45,11374845,2,6,2008,1,,
Y,2018,NY,4699.52,11774894,9,18,1995,1,,
Y,2018,MD,4624.79,6500212,35,3,2002,1,,
Y,2018,SC,4619.47,12094909,276,24,2003,1,,
Y,2018,NJ,4617.47,107461199,9,16,2009,3,,
Y,2018,TN,4577.37,8201797,105,6,2010,1,,
Y,2018,DC,4572.72,29979250,3,21,2012,2,,
Y,2018,CA,4570.75,4903919,11,17,2012,1,,
Y,2018,VA,4568.80,13046593,3,7,2010,1,,
Y,2018,CA,4562.99,80219088,20,5,1995,1,,
Y,2018,FL,4546.80,11252124,1,17,2013,1,,
Y,2018,NJ,4477.66,14144419,49,25,2013,1,,
Y,2018,NJ,4475.38,6720318,9,28,2011,2,,
Y,2018,NY,4455.94,6453356,9,2,2014,1,,
Y,2018,NY,4411.04,51851376,9,5,2010,1,,
Y,2018,CA,4409.09,14723679,2,19,2014,1,,
Y,2018,TX,4394.87,12007014,8,5,2014,1,,
Y,2018,CO,4393.00,10992799,30,9,2012,1,,
Y,2018,NY,4336.49,8754620,9,2,2014,1,,
Y,2018,CA,4330.99,4741692,2,16,2013,1,,
Y,2018,NY,4309.10,370560142,9,3,2012,1,,
Y,2018,IL,4271.60,14030277,17,19,2004,1,,
Y,2018,ID,4269.54,9278288,159,9,2013,1,,
Y,2018,OK,4255.42,13404073,841,15,1995,1,,
Y,2018,WV,4244.45,7691015,3,29,2009,2,,
Y,2018,CA,4241.63,16343864,2,7,2014,1,,
Y,2018,CA,4241.51,4392996,11,22,2012,1,,
Y,2018,FL,4240.69,5698549,295,11,1997,1,,
Y,2018,ID,4232.13,63888879,159,9,2014,1,,
Y,2018,CA,4225.37,10128560,4,9,2004,1,,
Y,2018,SC,4206.85,7524026,107,6,2005,1,,
Y,2018,TX,4206.32,29302217,8,1,2014,1,,
Y,2018,TX,4174.32,4586853,8,16,2012,1,,
Y,2018,FL,4160.26,6704143,1,28,1998,1,,
Y,2018,NY,4096.60,34789843,9,21,2012,1,,
Y,2018,VA,4036.54,5953976,3,7,2001,1,,
Y,2018,NY,4021.66,5612627,9,4,2013,1,,
Y,2018,CA,3987.66,35727472,54,16,2004,1,,
Y,2018,MD,3949.10,6149416,3,10,2012,1,,
Y,2018,CA,3945.58,26454344,67,16,1996,1,,
Y,2018,CO,3945.00,8928171,30,5,2013,1,,
Y,2018,FL,3940.42,9697000,64,16,2014,1,,
Y,2018,GA,3939.66,4568658,29,4,2002,1,,
Y,2018,TX,3937.47,18974101,18,6,1999,1,,
Y,2018,TX,3937.05,7282393,18,2,1995,1,,
Y,2018,UT,3934.97,78865800,48,5,2001,1,,
Y,2018,PA,3923.62,6965244,49,18,2012,1,,
Y,2018,UT,3917.73,9723997,48,17,2007,3,,
Y,2018,CA,3891.15,4058161,2,18,2014,1,,
Y,2018,CA,3882.28,11151870,2,18,2014,1,,
Y,2018,CA,3875.93,19653990,4,9,2004,1,,
Y,2018,NY,3863.84,30102573,9,12,2012,1,,
Y,2018,TX,3860.86,81118994,22,3,2013,1,,
Y,2018,GA,3842.89,4245030,182,9,2013,1,,
Y,2018,WA,3841.69,11550733,10,20,2014,1,,
Y,2018,CO,3830.91,8846385,30,5,1993,1,,
Y,2018,GA,3823.66,8797672,29,10,2011,1,,
Y,2018,NC,3792.01,5201501,192,11,2014,1,,
Y,2018,CA,3768.84,19110365,2,4,2008,1,,
Y,2018,CA,3767.93,4188230,2,11,2014,1,,
Y,2018,TN,3765.00,10089048,82,10,1999,1,,
Y,2018,GA,3764.73,4618240,29,5,2013,1,,
Y,2018,GA,3751.63,11231936,29,17,2013,2,,
Y,2018,IL,3736.98,4921004,17,4,1990,1,,
Y,2018,NY,3733.18,5596437,9,9,2010,1,,
Y,2018,CA,3728.37,27185793,2,4,2007,2,,
Y,2018,FL,3725.66,64472601,7,28,2010,3,,
Y,2018,NY,3710.78,328337000,9,18,2012,1,,
Y,2018,FL,3681.27,11343811,1,5,2014,1,,
Y,2018,PA,3637.83,3915000,49,1,2014,1,,
Y,2018,NJ,3636.44,20000573,9,5,1999,1,,
Y,2018,GA,3621.21,36141876,29,23,2012,2,,
Y,2018,CA,3613.39,7140900,4,9,1994,1,,
Y,2018,CA,3568.58,8924777,2,21,2013,1,,
Y,2018,MN,3562.48,7059934,176,5,2014,1,,
Y,2018,GA,3560.15,27120184,29,6,2003,1,,
Y,2018,TX,3551.80,4397937,8,9,2012,1,,
Y,2018,IL,3543.01,4403673,17,6,2014,1,,
Y,2018,MN,3536.91,31493348,13,18,2012,1,,
Y,2018,CO,3534.88,4771183,30,9,1991,1,,
Y,2018,IL,3528.98,31013637,17,5,1997,1,,
Y,2018,CA,3528.54,4716375,4,9,2013,1,,
Y,2018,MO,3505.68,4987776,74,18,2014,1,,
Y,2018,CA,3499.15,8545050,4,3,1998,1,,
Y,2018,CA,3488.61,8187450,20,9,2011,1,,
Y,2018,CA,3481.82,17499762,2,6,2014,1,,
Y,2018,NY,3481.12,18115221,9,18,2014,1,,
Y,2018,FL,3458.33,3627074,7,1,2013,1,,
Y,2018,VA,3444.16,5474349,3,7,2007,1,,
Y,2018,MD,3425.77,10000326,35,3,2014,1,,
Y,2018,SC,3421.83,18607552,276,24,2013,1,,
Y,2018,NJ,3420.64,5868120,9,17,1993,1,,
Y,2018,TN,3390.64,12618149,105,6,2013,2,,
Y,2018,CA,3384.87,70688585,2,13,2010,1,,
Y,2018,VA,3384.30,20071682,3,7,2011,3,,
Y,2018,NY,3380.53,4749670,9,2,2012,1,,
Y,2018,CA,3379.99,123413982,20,5,2012,2,,
Y,2018,TX,3355.83,7620044,22,23,2012,1,,
Y,2018,NY,3317.26,30262340,9,4,1999,1,,
Y,2018,CA,3314.21,5675375,4,20,2014,1,,
Y,2018,FL,3304.04,31859667,1,4,2010,1,,
Y,2018,PA,3292.79,3431780,52,20,2009,1,,
Y,2018,VA,3264.15,5303455,3,7,1999,1,,
Y,2018,IL,3258.47,7220641,17,9,2001,1,,
Y,2018,TX,3252.79,20692768,8,2,2000,1,,
Y,2018,AZ,3206.11,5687896,46,9,2005,1,,
Y,2018,CA,3200.14,6600277,54,18,2014,1,,
Y,2018,VA,3176.27,21569313,3,29,2003,1,,
Y,2018,CA,3165.08,3993925,2,9,2013,1,,
Y,2018,VA,3165.03,15908848,3,7,2001,1,,
Y,2018,IL,3164.15,21585041,17,19,2012,1,,
Y,2018,NC,3154.07,13962204,191,20,2003,1,,
Y,2018,PA,3152.71,4560166,998,12,2013,1,,
Y,2018,OK,3152.16,20621650,841,15,2013,1,,
Y,2018,FL,3141.25,8766999,295,11,2012,1,,
Y,2018,CA,3129.90,15582400,4,9,2012,1,,
Y,2018,TN,3116.26,39860781,82,10,2004,1,,
Y,2018,SC,3116.18,11575425,107,6,2013,1,,
Y,2018,CA,3102.32,5429345,274,6,2008,1,,
Y,2018,MO,3101.34,4090548,21,4,2014,1,,
Y,2018,TN,3089.40,3949884,222,3,2014,1,,
Y,2018,FL,3081.67,10314066,1,28,2014,1,,
Y,2018,CA,3081.50,19097086,11,10,1997,1,,
Y,2018,CA,3073.00,43517861,2,16,1997,1,,
Y,2018,SC,3054.54,3596875,29,21,2014,1,,
Y,2018,NV,3049.14,4499588,1004,14,2012,1,,
Y,2018,UT,3047.40,6265963,12,17,2002,1,,
Y,2018,CA,3036.96,11307884,247,12,2010,1,,
Y,2018,CA,3028.01,58279800,4,4,2003,1,,
Y,2018,CA,3024.62,19971629,2,16,1990,1,,
Y,2018,TX,3014.31,4030293,8,10,2002,1,,
Y,2018,WV,3010.61,5926892,504,5,2010,1,,
Y,2018,MT,3000.59,3184638,998,15,2007,1,,
Y,2018,FL,2996.88,15090777,1,17,1994,1,,
Y,2018,VA,2990.03,9159963,3,7,2010,1,,
Y,2018,CT,2987.08,3194016,70,21,2012,1,,
Y,2018,CA,2982.04,3215740,2,3,2014,1,,
Y,2018,TX,2976.33,6230386,18,16,2002,1,,
Y,2018,AZ,2965.67,57788639,46,16,1991,1,,
Y,2018,CA,2964.42,23741412,2,12,1991,1,,
Y,2018,CA,2953.82,54965341,54,16,2013,1,,
Y,2018,VA,2949.19,3063798,3,28,2012,1,,
Y,2018,FL,2947.48,3730001,68,10,1994,1,,
Y,2018,AZ,2933.90,20804923,46,20,2002,1,,
Y,2018,NY,2922.97,20121424,9,11,1994,1,,
Y,2018,GA,2918.27,7028705,29,4,2013,1,,
Y,2018,TX,2916.65,29190924,18,6,2013,1,,
Y,2018,NY,2916.55,5124759,9,2,2013,1,,
Y,2018,TX,2916.33,11203681,18,2,2012,1,,
Y,2018,UT,2914.79,121332000,48,5,2013,1,,
Y,2018,MT,2897.41,4587746,405,23,2000,1,,
Y,2018,CA,2895.74,4153027,2,22,2014,1,,
Y,2018,MD,2890.27,3210164,3,7,1992,1,,
Y,2018,OR,2886.80,8409709,10,11,1996,1,,
Y,2018,CA,2871.06,30236908,4,9,2013,1,,
Y,2018,AZ,2868.77,3373063,46,6,2004,1,,
Y,2018,FL,2865.89,6352508,7,11,1997,1,,
Y,2018,NY,2862.10,46311650,9,12,2013,1,,
Y,2018,TX,2859.90,124798452,22,3,2014,1,,
Y,2018,UT,2856.92,3374235,48,5,2014,1,,
Y,2018,TN,2852.16,3047038,998,20,2012,1,,
Y,2018,GA,2846.59,6530816,182,9,2013,1,,
Y,2018,MD,2839.07,7602298,35,7,2000,1,,
Y,2018,NY,2838.73,20848651,9,9,2014,1,,
Y,2018,CO,2837.71,13609823,30,5,2012,2,,
Y,2018,CA,2836.22,3128303,2,18,2014,1,,
Y,2018,MD,2815.67,3941618,35,7,2000,1,,
Y,2018,NC,2808.89,8002309,192,11,2010,2,,
Y,2018,CA,2803.07,10543702,4,11,1995,1,,
Y,2018,TX,2797.01,8000363,8,19,2009,1,,
Y,2018,CA,2791.74,29400561,2,4,2013,1,,
Y,2018,TN,2788.89,15521612,82,10,2012,1,,
Y,2018,GA,2771.08,6962263,29,9,2003,1,,
Y,2018,ND,2770.54,4756980,402,9,2013,1,,
Y,2018,MI,2769.70,2955159,401,18,2013,1,,
Y,2018,IL,2768.13,7570775,17,4,2013,1,,
Y,2018,WA,2766.19,3541708,23,4,2011,1,,
Y,2018,TX,2753.44,2858951,18,29,2011,1,,
Y,2018,VA,2743.18,5662373,3,7,1993,1,,
Y,2018,AL,2729.16,34470630,140,10,1997,1,,
Y,2018,CA,2722.71,4844873,4,10,2011,1,,
Y,2018,OK,2719.20,4188259,38,20,2003,1,,
Y,2018,CA,2706.21,4699191,2,4,1990,1,,
Y,2018,NY,2702.81,6843207,51,21,1999,1,,
Y,2018,NY,2701.25,11342877,9,5,2000,1,,
Y,2018,CA,2693.88,18941074,4,5,1994,1,,
Y,2018,CA,2683.61,3214208,4,9,2013,1,,
Y,2018,TX,2680.27,7226766,8,10,2002,1,,
Y,2018,IL,2679.48,2865453,74,18,2005,1,,
Y,2018,CA,2676.58,10986000,4,9,2007,2,,
Y,2018,IL,2668.85,4868996,17,3,2014,1,,
Y,2018,CA,2668.50,6712377,42,4,2014,1,,
Y,2018,TX,2652.12,4503378,8,10,2009,1,,
Y,2018,TX,2652.11,4054378,879,4,2011,1,,
Y,2018,TX,2647.12,5505252,22,16,2009,2,,
Y,2018,SC,2639.15,4104983,536,5,1992,1,,
Y,2018,GA,2637.15,41723360,29,6,2006,2,,
Y,2018,NY,2635.41,3027228,9,5,2013,1,,
Y,2018,GA,2633.62,6821352,29,21,1995,1,,
Y,2018,NY,2629.22,7444067,9,19,1995,1,,
Y,2018,CO,2618.43,7340282,30,9,2013,1,,
Y,2018,IL,2614.06,47713288,17,5,2013,2,,
Y,2018,DC,2594.06,11563448,3,9,2014,1,,
Y,2018,CA,2591.96,13146230,4,3,2013,1,,
Y,2018,NY,2589.09,8229766,9,9,2001,1,,
Y,2018,CA,2575.87,16040034,4,12,1993,1,,
Y,2018,VA,2573.23,2674218,3,28,2002,1,X,
Y,2018,MT,2570.85,3192381,369,2,2014,1,,
Y,2018,VA,2551.23,8422075,3,7,2013,1,,
Y,2018,CA,2550.18,9890400,4,9,2003,1,,
Y,2018,AZ,2548.08,5746755,46,18,2005,1,,
Y,2018,NJ,2533.81,9027877,9,17,2010,1,,
Y,2018,DC,2510.80,29735236,3,7,2008,1,,
Y,2018,CA,2507.31,108751669,2,13,2012,3,,
Y,2018,CA,2498.37,4090313,2,5,2003,1,,
Y,2018,ID,2489.28,2864775,159,9,2014,1,,
Y,2018,TX,2485.80,11723144,22,23,2012,2,,
Y,2018,IL,2485.16,6454925,17,11,2003,1,,
Y,2018,TX,2483.64,2583638,886,5,2011,1,X,
Y,2018,MO,2481.71,2669278,74,5,2001,1,,
Y,2018,AZ,2465.94,4305579,46,7,2000,1,,
Y,2018,SC,2459.01,43618563,536,20,2010,1,,
Y,2018,NY,2457.23,46557446,9,4,2013,1,,
Y,2018,UT,2452.57,3109790,12,4,1991,1,,
Y,2018,NJ,2451.83,2662881,9,10,2003,1,,
Y,2018,MD,2450.20,35429722,3,7,1991,1,,
Y,2018,FL,2447.44,49014872,1,4,2013,1,X,
Y,2018,CA,2444.66,11864869,4,17,1992,1,,
Y,2018,PA,2439.10,5279662,52,20,2012,1,,
Y,2018,VA,2417.89,8159161,3,7,2013,1,,
Y,2018,IL,2413.69,11108678,17,9,2012,1,,
Y,2018,TX,2409.47,31835027,8,2,2007,3,,
Y,2018,VA,2408.32,3191364,3,12,1992,1,,
Y,2018,IL,2406.40,3452801,17,6,2006,1,,
Y,2018,GA,2397.37,2744965,29,4,2000,1,,
Y,2018,AZ,2374.89,8750609,46,9,2011,2,,
Y,2018,CO,2374.43,2834835,31,5,2014,1,,
Y,2018,KS,2362.29,4288077,21,4,1996,1,,
Y,2018,VA,2352.80,33183559,3,29,2011,3,,
Y,2018,IL,2352.42,3467181,17,9,1996,1,,
Y,2018,VA,2351.02,3849737,3,7,2014,1,,
Y,2018,FL,2349.85,6804385,7,10,2014,1,,
Y,2018,CA,2344.50,6144500,2,9,2014,1,,
Y,2018,VA,2344.47,24475150,3,7,2008,2,,
Y,2018,NC,2336.35,21480314,191,20,2013,1,,
Y,2018,MN,2335.68,15229900,13,17,2005,1,,
Y,2018,VA,2328.62,2877049,3,29,2010,1,,
Y,2018,TX,2326.78,17422871,8,9,2005,1,,
Y,2018,NV,2311.84,2856947,1004,24,2014,1,X,
Y,2018,TN,2308.34,61324279,82,10,2013,1,,
Y,2018,UT,2306.79,4514844,48,5,2014,1,,
Y,2018,VA,2306.05,2605750,15,7,2012,1,,
Y,2018,TX,2303.46,6201000,8,7,1993,1,,
Y,2018,CA,2298.02,8352839,274,6,2012,2,,
Y,2018,CO,2294.01,19439263,120,20,2003,1,,
Y,2018,CA,2292.00,19514896,20,29,1997,1,,
Y,2018,IL,2286.37,2908221,17,17,2014,1,,
Y,2018,CA,2282.59,29380133,11,10,2014,3,X,
Y,2018,GA,2278.40,4672653,29,28,2013,1,,
Y,2018,CA,2276.30,66950555,2,16,2014,1,,
Y,2018,NY,2265.91,4022850,9,9,1995,1,,
Y,2018,UT,2257.33,9639943,12,17,2013,2,,
Y,2018,CA,2255.09,3876305,20,29,2001,1,,
Y,2018,CA,2249.60,17396745,247,12,2012,3,,
Y,2018,TX,2249.40,14642878,8,17,2014,1,,
Y,2018,CA,2242.97,89661230,4,4,2012,2,,
Y,2018,CA,2240.46,30725583,2,16,2012,3,,
Y,2018,CA,2239.72,6378445,2,10,1997,1,,
Y,2018,TX,2232.82,6200451,8,10,2013,1,,
Y,2018,WV,2230.08,9118295,504,5,2011,1,,
Y,2018,VA,2229.92,3011514,3,7,2005,1,,
Y,2018,AZ,2226.49,31315877,46,3,1994,1,,
Y,2018,MT,2222.66,4899443,998,15,2013,2,,
Y,2018,FL,2220.10,11827278,68,20,2010,1,,
Y,2018,FL,2219.91,23216580,1,17,2013,1,,
Y,2018,PA,2215.30,3087469,49,10,2004,1,,
Y,2018,GA,2214.18,3636498,29,9,1997,1,,
Y,2018,WA,2212.08,4394834,23,9,2013,1,,
Y,2018,TX,2204.69,9585209,18,16,2014,1,,
Y,2018,AZ,2196.80,88905599,46,16,2013,1,,
Y,2018,CA,2195.87,36525249,2,12,2013,1,,
Y,2018,VA,2194.51,7225069,40,20,2014,1,,
Y,2018,CA,2192.51,35909394,67,5,2001,1,,
Y,2018,CA,2183.35,2973611,54,15,2007,1,,
Y,2018,FL,2183.32,5738463,68,10,2013,1,,
Y,2018,MA,2175.18,2578462,6,10,2013,1,,
Y,2018,AZ,2173.26,32007574,46,20,2014,1,,
Y,2018,NY,2165.16,30956037,9,11,2009,3,,
Y,2018,NY,2155.61,5504870,71,3,1993,1,,
Y,2018,AR,2148.73,4171868,832,10,2013,1,,
Y,2018,PA,2148.17,3645546,357,9,2014,1,,
Y,2018,MT,2146.23,7058070,405,23,2008,2,,
Y,2018,VA,2144.93,3427836,3,7,2010,1,,
Y,2018,CA,2142.91,8894124,2,11,2003,1,,
Y,2018,MD,2140.94,4938714,3,7,2012,1,,
Y,2018,OR,2138.37,12938014,10,11,2010,2,,
Y,2018,CA,2128.18,8651687,2,20,1996,1,,
Y,2018,IL,2126.76,2737240,17,3,2013,1,,
Y,2018,AZ,2125.01,5189328,46,6,2012,2,X,
Y,2018,NC,2124.35,11171796,43,29,2008,1,,
Y,2018,CA,2123.50,15332055,4,2,2009,1,,
Y,2018,FL,2122.88,9773089,7,11,2013,1,,
Y,2018,NY,2120.78,10642099,9,4,2010,1,,
Y,2018,CA,2113.16,2613183,2,7,2005,1,,
Y,2018,TX,2105.71,2593258,8,5,1990,1,,
Y,2018,LA,2104.69,7379700,181,23,2001,1,,
Y,2018,MD,2103.01,11695843,35,7,2005,1,,
Y,2018,NY,2102.76,32074847,9,9,2011,1,,
Y,2018,MD,2085.68,6064027,35,7,2011,1,,
Y,2018,FL,2079.23,3638625,7,2,2014,1,,
Y,2018,CA,2076.35,16221080,4,11,2012,1,,
Y,2018,GA,2074.61,5383119,29,2,2010,1,,
Y,2018,TX,2071.86,12308251,8,19,2012,2,,
Y,2018,UT,2064.39,7399625,48,4,1995,1,,
Y,2018,CA,2054.15,3464670,4,3,2011,1,,
Y,2018,GA,2052.65,10711174,29,9,2014,2,,
Y,2018,NC,2049.43,2983242,43,24,1991,1,,
Y,2018,WA,2049.03,5448782,23,4,2012,1,,
Y,2018,FL,2042.12,3403395,7,5,2013,1,,
Y,2018,CA,2041.46,2450302,125,4,1993,1,,
Y,2018,TX,2039.58,4398386,18,29,2006,1,,
Y,2018,CA,2032.56,4096782,20,9,2002,1,,
Y,2018,VA,2031.98,8711343,3,7,2006,3,,
Y,2018,FL,2030.66,2625004,1,5,2011,1,,
Y,2018,VA,2025.94,3125431,3,14,1992,1,,
Y,2018,AL,2021.60,53031738,140,10,2014,1,,
Y,2018,CA,2016.82,7453650,4,10,2012,1,,
Y,2018,OK,2014.22,6443475,38,20,2013,2,,
Y,2018,CA,2004.60,7229524,2,4,2012,1,,
Y,2018,VA,2004.00,3088671,3,7,2012,1,,
Y,2018,NY,2002.08,10528011,51,21,2012,7,,
Y,2018,NY,2000.92,17450580,9,5,2014,1,,
Y,2018,ND,2000.49,2352973,118,2,1992,1,,
Y,2018,CA,1999.31,13141502,2,2,2014,1,,
Y,2018,CA,1995.47,29140114,4,5,2014,1,,
Y,2018,MN,1991.15,3470350,13,9,1996,1,,
Y,2018,TX,1985.39,11118102,8,10,2013,1,,
Y,2018,GA,1981.87,2528324,29,9,1999,1,,
Y,2018,VA,1979.61,3520767,276,9,2012,1,,
Y,2018,IL,1977.23,45406808,17,2,2013,1,,
Y,2018,CA,1976.66,10326734,42,4,2012,3,,
Y,2018,TX,1964.52,6237504,879,4,2012,1,,
Y,2018,IL,1960.20,2506213,17,17,2011,1,,
Y,2018,CO,1960.15,6758187,30,4,2012,1,,
Y,2018,OH,1956.31,2132411,19,28,2012,1,,
Y,2018,SC,1954.92,6315358,536,5,2009,1,,
Y,2018,MD,1952.78,2847790,35,17,2003,1,,
Y,2018,NE,1951.17,5713169,97,28,2000,1,,
Y,2018,GA,1950.83,10494387,29,21,2013,1,,
Y,2018,NY,1947.57,11452411,9,19,2013,1,,
Y,2018,AL,1941.77,2145987,69,7,2013,1,,
Y,2018,WA,1941.18,5488109,10,2,1992,1,,
Y,2018,CA,1939.86,18964035,2,9,2001,1,,
Y,2018,MO,1939.08,3333388,74,5,2014,1,,
Y,2018,VA,1932.19,2265175,15,3,2013,1,,
Y,2018,TX,1928.96,3009044,8,21,2007,1,,
Y,2018,DC,1921.53,17789920,3,9,2011,1,,
Y,2018,FL,1921.09,14648767,1,10,1998,1,,
Y,2018,FL,1918.86,17046902,1,1,2013,1,,
Y,2018,NY,1917.84,12661179,9,9,2014,1,,
